latin_name,activity_type,study_name,trial_number,state,objective_value,mean_auc,std_auc,stability_penalty,stability_penalty_score,feature_penalty,target_features,n_features,excess_features,feature_penalty_score,mean_abs_correlation,correlation_penalty,correlation_penalty_score
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,300,COMPLETE,0.5943656999261689,0.8215967299655943,0.09820418989869407,0.25,0.02455104747467352,0.001,10,23,13,0.192,0.21359965129503525,0.05,0.010679982564751764
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,301,COMPLETE,0.4899613775705207,0.7691227986963491,0.07295565265362547,0.25,0.018238913163406367,0.001,10,25,15,0.25,0.21845015924844016,0.05,0.010922507962422008
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,302,COMPLETE,0.4439130606521428,0.7550016846750895,0.07317463338886893,0.25,0.01829365834721723,0.001,10,26,16,0.28200000000000003,0.21589931351459055,0.05,0.010794965675729528
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,303,COMPLETE,0.48241980608980123,0.7968894007295114,0.08584513999018817,0.25,0.021461284997547042,0.001,10,26,16,0.28200000000000003,0.22016619284326172,0.05,0.011008309642163087
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,304,COMPLETE,0.3928354287651417,0.7740399200114524,0.07349681291853882,0.25,0.018374203229634706,0.001,10,28,18,0.35200000000000004,0.21660576033351953,0.05,0.010830288016675977
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,305,COMPLETE,0.5143885610506265,0.7609688911298222,0.06425234780823091,0.25,0.01606308695205773,0.001,10,24,14,0.22,0.21034486254276194,0.05,0.010517243127138098
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,306,COMPLETE,0.40902558869002215,0.7547954756603817,0.07628560542069929,0.25,0.019071401355174822,0.001,10,27,17,0.316,0.2139697123036958,0.05,0.010698485615184791
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,307,COMPLETE,0.4785701936464834,0.755200532768965,0.061893484325052095,0.25,0.015473371081263024,0.001,10,25,15,0.25,0.2231393608243722,0.05,0.01115696804121861
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,308,COMPLETE,0.41087320475214306,0.7949530426585735,0.08407135893576555,0.25,0.021017839733941387,0.001,10,28,18,0.35200000000000004,0.22123996344978097,0.05,0.011061998172489049
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,309,COMPLETE,0.39581333626413356,0.7824199881393157,0.0891211243002048,0.25,0.0222802810750512,0.001,10,28,18,0.35200000000000004,0.24652741600261796,0.05,0.012326370800130899
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,310,COMPLETE,0.4696248807799861,0.7854986050152925,0.08674274267614643,0.25,0.021685685669036607,0.001,10,26,16,0.28200000000000003,0.2437607713253943,0.05,0.012188038566269717
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,311,COMPLETE,0.5426006540904569,0.7980502931964768,0.09369286262630631,0.25,0.02342321565657658,0.001,10,24,14,0.22,0.24052846898886676,0.05,0.012026423449443338
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,312,COMPLETE,0.4993566403479827,0.7848131525588044,0.0922792745104143,0.25,0.023069818627603576,0.001,10,25,15,0.25,0.24773387166436087,0.05,0.012386693583218044
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,313,COMPLETE,0.5681197145193926,0.792995235278004,0.08120141464345858,0.25,0.020300353660864644,0.001,10,23,13,0.192,0.25150334195493534,0.05,0.012575167097746767
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,314,COMPLETE,0.5959186735760267,0.7900165339889526,0.06198804368900415,0.25,0.015497010922251038,0.001,10,22,12,0.166,0.2520169898134952,0.05,0.01260084949067476
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,315,COMPLETE,0.5175789265427923,0.7708371275862363,0.0822847134921599,0.25,0.020571178373039976,0.001,10,24,14,0.22,0.2537404534080817,0.05,0.012687022670404086
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,316,COMPLETE,0.6293321192987115,0.7976929895276405,0.06074992261469344,0.25,0.01518748065367336,0.001,10,21,11,0.142,0.22346779150511092,0.05,0.011173389575255547
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,317,COMPLETE,0.6040509788593906,0.7983890191204969,0.06590152546612679,0.25,0.016475381366531698,0.001,10,22,12,0.166,0.23725317789149042,0.05,0.011862658894574522
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,318,COMPLETE,0.5999416926494382,0.7935519963594405,0.0673556514043408,0.25,0.0168389128510852,0.001,10,22,12,0.166,0.21542781717834253,0.05,0.010771390858917127
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,319,COMPLETE,0.6022503850795893,0.771710682611225,0.06676230141690481,0.25,0.016690575354226203,0.001,10,21,11,0.142,0.21539444354818946,0.05,0.010769722177409473
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,320,COMPLETE,0.6033644241583994,0.7702688085848658,0.05747715040651533,0.25,0.014369287601628833,0.001,10,21,11,0.142,0.21070193649675034,0.05,0.010535096824837518
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,321,COMPLETE,0.583189745518346,0.77942953618243,0.07835929979073303,0.25,0.019589824947683257,0.001,10,22,12,0.166,0.212999314328016,0.05,0.0106499657164008
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,322,COMPLETE,0.5792580986737216,0.7747253174083406,0.07403407024966895,0.25,0.018508517562417236,0.001,10,22,12,0.166,0.21917402344403578,0.05,0.010958701172201789
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,323,COMPLETE,0.5628741488845385,0.7857946690806111,0.08043534586442784,0.25,0.02010883646610696,0.001,10,23,13,0.192,0.21623367459931617,0.05,0.010811683729965809
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,324,COMPLETE,0.5673375927422606,0.787720409799194,0.071338690117924,0.25,0.017834672529481,0.001,10,23,13,0.192,0.21096289054904976,0.05,0.010548144527452489
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,325,COMPLETE,0.6200350513522227,0.7881668571429984,0.06094985410744838,0.25,0.015237463526862095,0.001,10,21,11,0.142,0.21788684527827318,0.05,0.01089434226391366
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,326,COMPLETE,0.5816298272063304,0.758521237544358,0.09422021353155517,0.25,0.023555053382888793,0.001,10,21,11,0.142,0.22672713910277628,0.05,0.011336356955138814
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,327,COMPLETE,0.5427430451934535,0.770313239767531,0.10043914022924941,0.25,0.025109785057312352,0.001,10,23,13,0.192,0.20920819033530333,0.05,0.010460409516765167
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,328,COMPLETE,0.5400217656160707,0.7662378281269019,0.09502261197626358,0.25,0.023755652994065894,0.001,10,23,13,0.192,0.20920819033530333,0.05,0.010460409516765167
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,329,COMPLETE,0.5427427238094532,0.7703261361724367,0.10049201138487335,0.25,0.025123002846218337,0.001,10,23,13,0.192,0.20920819033530333,0.05,0.010460409516765167
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,330,COMPLETE,0.5736951115725633,0.7714469377976622,0.08548177489695752,0.25,0.02137044372423938,0.001,10,22,12,0.166,0.20762765001718997,0.05,0.0103813825008595
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,331,COMPLETE,0.5533555559758582,0.7789834751643872,0.09026290670267825,0.25,0.022565726675669563,0.001,10,23,13,0.192,0.22124385025718932,0.05,0.011062192512859467
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,332,COMPLETE,0.558015602306177,0.7858214103744215,0.09897446222154056,0.25,0.02474361555538514,0.001,10,23,13,0.192,0.22124385025718932,0.05,0.011062192512859467
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,333,COMPLETE,0.5391764196260833,0.7923774345219697,0.0903760499321744,0.25,0.0225940124830436,0.001,10,24,14,0.22,0.21214004825685778,0.05,0.01060700241284289
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,334,COMPLETE,0.5561538164176373,0.7782342674021043,0.08053092208671654,0.25,0.020132730521679135,0.001,10,23,13,0.192,0.19895440925575916,0.05,0.00994772046278796
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,335,COMPLETE,0.5213550636174746,0.7728635776542566,0.08205483331267659,0.25,0.020513708328169147,0.001,10,24,14,0.22,0.2198961141722581,0.05,0.010994805708612906
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,336,COMPLETE,0.5062008953176471,0.7878793946565912,0.08450478515275818,0.25,0.021126196288189545,0.001,10,25,15,0.25,0.21104606101509063,0.05,0.010552303050754532
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,337,COMPLETE,0.5712900596425627,0.768256414647167,0.0823398900149788,0.25,0.0205849725037447,0.001,10,22,12,0.166,0.20762765001718997,0.05,0.0103813825008595
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,338,COMPLETE,0.5059250313575142,0.787012785654556,0.08214180498514932,0.25,0.02053545124628733,0.001,10,25,15,0.25,0.21104606101509063,0.05,0.010552303050754532
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,339,COMPLETE,0.5407454957952667,0.7948328850048375,0.09392154718691229,0.25,0.02348038679672807,0.001,10,24,14,0.22,0.21214004825685778,0.05,0.01060700241284289
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,340,COMPLETE,0.5060797909593092,0.787651757978813,0.0840786558749971,0.25,0.021019663968749276,0.001,10,25,15,0.25,0.21104606101509063,0.05,0.010552303050754532
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,341,COMPLETE,0.5226764809225697,0.7704908602842107,0.07171429359950454,0.25,0.017928573399876135,0.001,10,24,14,0.22,0.1977161192352951,0.05,0.009885805961764756
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,342,COMPLETE,0.5263633375550991,0.7743121494967099,0.07171755643698506,0.25,0.017929389109246265,0.001,10,24,14,0.22,0.20038845664729177,0.05,0.010019422832364589
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,343,COMPLETE,0.5103189655060614,0.7589736047146669,0.07313536153383017,0.25,0.018283840383457543,0.001,10,24,14,0.22,0.20741597650295973,0.05,0.010370798825147987
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,344,COMPLETE,0.6041486153262523,0.7711460454366437,0.05784933314221519,0.25,0.014462333285553797,0.001,10,21,11,0.142,0.21070193649675034,0.05,0.010535096824837518
